question_id,role,category,question_en,question_ml,expected_answer_type,mandatory,scoring_importance,template_id

Q001,Accountant,Introduction,"Could you please introduce yourself and briefly describe your professional background?","ദയവായി സ്വയം പരിചയപ്പെടുത്തുകയും നിങ്ങളുടെ പ്രൊഫഷണൽ പശ്ചാത്തലത്തെക്കുറിച്ച് ചുരുക്കത്തിൽ വിവരിക്കുകയും ചെയ്യാമോ?",text,true,low,INTRO_001
Q002,Accountant,Education,"What is your highest educational qualification?","നിങ്ങളുടെ ഏറ്റവും ഉയർന്ന വിദ്യാഭ്യാസ യോഗ്യത എന്താണ്?",text,true,high,EDU_001
Q003,Accountant,Experience,"How many years of professional experience do you have in accounting?","അക്കൗണ്ടിംഗ് മേഖലയിൽ നിങ്ങൾക്ക് എത്ര വർഷത്തെ പ്രൊഫഷണൽ പരിചയമുണ്ട്?",number,true,high,EXP_001
Q004,Accountant,Skills,"Do you have experience using Tally for accounting tasks?","അക്കൗണ്ടിംഗ് ജോലികൾക്കായി Tally ഉപയോഗിക്കുന്നതിൽ നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
Q005,Accountant,Skills,"Do you have experience handling GST-related accounting work?","GST സംബന്ധമായ അക്കൗണ്ടിംഗ് ജോലികൾ കൈകാര്യം ചെയ്യുന്നതിൽ നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
Q006,Accountant,Skills,"Do you have experience using Excel for accounting work?","അക്കൗണ്ടിംഗ് ജോലികൾക്കായി Excel ഉപയോഗിക്കുന്നതിൽ നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,medium,SKILL_001
Q007,Accountant,Skills,"Are you familiar with accounting standards?","അക്കൗണ്ടിംഗ് സ്റ്റാൻഡേർഡുകളെക്കുറിച്ച് നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
Q008,Accountant,Location,"Where are you currently located, and are you available to work from the required location?","നിങ്ങൾ നിലവിൽ എവിടെയാണ് താമസിക്കുന്നത്, കൂടാതെ ആവശ്യമായ സ്ഥലത്ത് നിന്ന് ജോലി ചെയ്യാൻ നിങ്ങൾക്ക് സാധിക്കുമോ?",text,true,medium,LOC_001
Q009,Accountant,Salary,"What are your current and expected salary requirements?","നിങ്ങളുടെ നിലവിലെ ശമ്പളവും പ്രതീക്ഷിക്കുന്ന ശമ്പളവും എത്രയാണ്?",range,false,medium,SAL_001
Q010,Accountant,Notice Period,"What is your current notice period, and when would you be available to join?","നിങ്ങളുടെ നിലവിലെ നോട്ടീസ് കാലയളവ് എത്രയാണ്, നിങ്ങൾക്ക് എപ്പോൾ ജോലിയിൽ പ്രവേശിക്കാൻ കഴിയും?",text,true,medium,NOTICE_001

Q011,AWS Cloud Engineer,Introduction,"Could you please introduce yourself and briefly describe your professional background?","ദയവായി സ്വയം പരിചയപ്പെടുത്തുകയും നിങ്ങളുടെ പ്രൊഫഷണൽ പശ്ചാത്തലത്തെക്കുറിച്ച് ചുരുക്കത്തിൽ വിവരിക്കുകയും ചെയ്യാമോ?",text,true,low,INTRO_001
Q012,AWS Cloud Engineer,Education,"What is your highest educational qualification?","നിങ്ങളുടെ ഏറ്റവും ഉയർന്ന വിദ്യാഭ്യാസ യോഗ്യത എന്താണ്?",text,true,high,EDU_001
Q013,AWS Cloud Engineer,Experience,"How many years of professional experience do you have in cloud engineering?","ക്ലൗഡ് എഞ്ചിനീയറിംഗ് മേഖലയിൽ നിങ്ങൾക്ക് എത്ര വർഷത്തെ പ്രൊഫഷണൽ പരിചയമുണ്ട്?",number,true,high,EXP_001
Q014,AWS Cloud Engineer,Skills,"Do you have professional experience working with AWS?","AWS-ൽ പ്രൊഫഷണൽമായി പ്രവർത്തിച്ച പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
Q015,AWS Cloud Engineer,Skills,"Do you have experience working with Linux systems?","Linux സിസ്റ്റങ്ങളിൽ പ്രവർത്തിച്ച പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
Q016,AWS Cloud Engineer,Skills,"Do you have experience using Docker?","Docker ഉപയോഗിക്കുന്നതിൽ നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,medium,SKILL_001
Q017,AWS Cloud Engineer,Skills,"Do you have experience with Terraform?","Terraform ഉപയോഗിക്കുന്നതിൽ നിങ്ങൾക്ക് പരിചയമുണ്ടോ?",yes_no,true,high,SKILL_001
